,Never Moved,2+ Years,1-2 Years,6 Months - 1 Year,3 Months - 6 Months,1 Month - 3 Months,1 Week - 1 Month,< 1 Week
2017-06-24,0.9979,0.0,0.0,0.0,0.0,0.0,0.0,0.0021
2017-06-25,0.9951,0.0,0.0,0.0,0.0,0.0,0.0,0.0049
2017-06-26,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.0063
2017-06-27,0.9863,0.0,0.0,0.0,0.0,0.0,0.0,0.0137
2017-06-28,0.9827,0.0,0.0,0.0,0.0,0.0,0.0,0.0173
2017-06-29,0.9733,0.0,0.0,0.0,0.0,0.0,0.0,0.0267
2017-06-30,0.9692,0.0,0.0,0.0,0.0,0.0,0.0,0.0308
2017-07-01,0.9677,0.0,0.0,0.0,0.0,0.0,0.0018,0.0305
2017-07-02,0.9668,0.0,0.0,0.0,0.0,0.0,0.0043,0.0289
2017-07-03,0.9637,0.0,0.0,0.0,0.0,0.0,0.0056,0.0307
2017-07-04,0.9592,0.0,0.0,0.0,0.0,0.0,0.0124,0.0284
2017-07-05,0.9534,0.0,0.0,0.0,0.0,0.0,0.0156,0.031
2017-07-06,0.9517,0.0,0.0,0.0,0.0,0.0,0.0243,0.024
2017-07-07,0.9493,0.0,0.0,0.0,0.0,0.0,0.0278,0.0229
2017-07-08,0.9456,0.0,0.0,0.0,0.0,0.0,0.0291,0.0253
2017-07-09,0.9434,0.0,0.0,0.0,0.0,0.0,0.0301,0.0265
2017-07-10,0.9418,0.0,0.0,0.0,0.0,0.0,0.0328,0.0254
2017-07-11,0.9387,0.0,0.0,0.0,0.0,0.0,0.0374,0.0239
2017-07-12,0.9349,0.0,0.0,0.0,0.0,0.0,0.0427,0.0224
2017-07-13,0.9333,0.0,0.0,0.0,0.0,0.0,0.0443,0.0224
2017-07-14,0.9305,0.0,0.0,0.0,0.0,0.0,0.0464,0.0231
2017-07-15,0.93,0.0,0.0,0.0,0.0,0.0,0.0521,0.0179
2017-07-16,0.9297,0.0,0.0,0.0,0.0,0.0,0.0548,0.0155
2017-07-17,0.923,0.0,0.0,0.0,0.0,0.0,0.0545,0.0225
2017-07-18,0.9226,0.0,0.0,0.0,0.0,0.0,0.0573,0.0201
2017-07-19,0.9165,0.0,0.0,0.0,0.0,0.0,0.0613,0.0222
2017-07-20,0.9137,0.0,0.0,0.0,0.0,0.0,0.0627,0.0236
2017-07-21,0.9123,0.0,0.0,0.0,0.0,0.0,0.0654,0.0223
2017-07-22,0.9102,0.0,0.0,0.0,0.0,0.0007,0.0653,0.0238
2017-07-23,0.9071,0.0,0.0,0.0,0.0,0.0028,0.0636,0.0265
2017-07-24,0.9066,0.0,0.0,0.0,0.0,0.0036,0.0718,0.018
2017-07-25,0.9044,0.0,0.0,0.0,0.0,0.0103,0.0655,0.0198
2017-07-26,0.9039,0.0,0.0,0.0,0.0,0.0131,0.069,0.014
