num_owners,num_tokens,height,time,supply_concentration
1.0,1.0,5387913,2018-04-05 23:49:27+00:00,1.0
25.0,102.0,5607238,2018-05-13 15:41:37+00:00,4.08
50.0,165.0,5853400,2018-06-25 19:14:54+00:00,3.3
58.0,250.0,5977376,2018-07-16 23:24:25+00:00,4.310344827586207
58.0,350.0,5977605,2018-07-17 00:21:10+00:00,6.0344827586206895
58.0,450.0,5977843,2018-07-17 01:21:35+00:00,7.758620689655173
111.0,496.0,5978876,2018-07-17 05:31:37+00:00,4.468468468468468
211.0,496.0,5979147,2018-07-17 06:41:27+00:00,2.3507109004739335
311.0,496.0,5979392,2018-07-17 07:41:21+00:00,1.594855305466238
357.0,529.0,6029932,2018-07-25 22:25:34+00:00,1.4817927170868348
368.0,597.0,6118606,2018-08-09 21:35:46+00:00,1.622282608695652
377.0,659.0,6288777,2018-09-07 14:33:51+00:00,1.7480106100795756
396.0,713.0,6375512,2018-09-22 00:11:45+00:00,1.8005050505050506
408.0,788.0,6499841,2018-10-12 07:05:58+00:00,1.9313725490196079
417.0,851.0,6595851,2018-10-27 23:19:18+00:00,2.0407673860911273
428.0,897.0,6648856,2018-11-05 15:59:14+00:00,2.0957943925233646
437.0,952.0,6699431,2018-11-13 22:44:35+00:00,2.1784897025171626
443.0,1004.0,6735767,2018-11-19 21:38:43+00:00,2.2663656884875847
449.0,1058.0,6775946,2018-11-26 11:39:14+00:00,2.356347438752784
453.0,1112.0,6809914,2018-12-02 02:24:05+00:00,2.4547461368653423
457.0,1176.0,6848479,2018-12-08 11:57:02+00:00,2.573304157549234
464.0,1241.0,6887676,2018-12-14 22:54:15+00:00,2.6745689655172415
471.0,1309.0,6940964,2018-12-23 23:02:17+00:00,2.7791932059447984
475.0,1364.0,7005619,2019-01-03 22:20:36+00:00,2.871578947368421
480.0,1428.0,7039357,2019-01-09 23:17:29+00:00,2.975
486.0,1483.0,7065530,2019-01-14 15:48:35+00:00,3.051440329218107
489.0,1556.0,7077894,2019-01-16 20:52:31+00:00,3.18200408997955
491.0,1618.0,7100888,2019-01-20 23:08:05+00:00,3.295315682281059
497.0,1684.0,7121215,2019-01-24 23:24:16+00:00,3.3883299798792756
496.0,1730.0,7136055,2019-01-27 21:45:58+00:00,3.4879032258064515
505.0,1794.0,7158218,2019-02-01 10:17:00+00:00,3.5524752475247525
506.0,1846.0,7182074,2019-02-06 07:03:18+00:00,3.6482213438735176
509.0,1900.0,7198952,2019-02-09 17:37:03+00:00,3.732809430255403
515.0,1954.0,7219475,2019-02-14 13:11:47+00:00,3.7941747572815534
521.0,2020.0,7238689,2019-02-19 03:30:21+00:00,3.8771593090211134
526.0,2081.0,7266230,2019-02-25 14:24:20+00:00,3.956273764258555
530.0,2146.0,7292699,2019-03-02 22:02:51+00:00,4.049056603773585
530.0,2196.0,7315293,2019-03-06 10:50:58+00:00,4.143396226415095
529.0,2236.0,7329755,2019-03-08 16:45:43+00:00,4.226843100189036
532.0,2301.0,7351174,2019-03-12 00:46:34+00:00,4.325187969924812
536.0,2360.0,7374321,2019-03-15 15:12:37+00:00,4.402985074626866
541.0,2432.0,7392240,2019-03-18 10:02:00+00:00,4.4953789279112755
544.0,2494.0,7414867,2019-03-21 22:37:03+00:00,4.584558823529412
547.0,2528.0,7432892,2019-03-24 18:09:03+00:00,4.621572212065813
549.0,2546.0,7439503,2019-03-25 18:44:49+00:00,4.637522768670309
555.0,2624.0,7460113,2019-03-29 00:02:24+00:00,4.727927927927928
557.0,2702.0,7502520,2019-04-04 15:35:22+00:00,4.850987432675045
563.0,2782.0,7534481,2019-04-09 14:28:22+00:00,4.941385435168739
569.0,2839.0,7560864,2019-04-13 17:09:57+00:00,4.989455184534271
578.0,2902.0,7598327,2019-04-19 13:05:17+00:00,5.02076124567474
583.0,2964.0,7632599,2019-04-24 21:49:58+00:00,5.084048027444254
586.0,3031.0,7677277,2019-05-01 20:10:36+00:00,5.17235494880546
